0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
592,2024091801001518,NABIL,7,34,100,550.00,"55,000.00"
593,2024091801001517,NABIL,58,34,700,550.00,"385,000.00"
594,2024091801001595,NABIL,38,35,100,550.00,"55,000.00"
595,2024091801001594,NABIL,25,35,100,550.00,"55,000.00"
596,2024091801001593,NABIL,11,35,10,550.10,"5,501.00"
597,2024091801001592,NABIL,4,35,100,550.10,"55,010.00"
598,2024091801001582,NABIL,38,25,137,555.00,"76,035.00"
599,2024091801001581,NABIL,38,41,53,555.00,"29,415.00"
600,2024091801001762,NABIL,45,59,310,550.00,"170,500.00"
601,2024091801001761,NABIL,8,59,100,550.10,"55,010.00"
602,2024091801001760,NABIL,58,59,90,550.10,"49,509.00"
603,2024091801001757,NABIL,58,4,110,550.10,"60,511.00"
604,2024091801001597,NABIL,45,35,670,550.00,"368,500.00"
605,2024091801001596,NABIL,20,35,100,550.00,"55,000.00"
606,2024091801002080,NABIL,14,40,10,554.00,"5,540.00"
607,2024091801002044,NABIL,17,22,15,551.10,"8,266.50"
608,2024091801002022,NABIL,6,40,50,554.00,"27,700.00"
609,2024091801001928,NABIL,58,25,178,553.90,"98,594.20"
610,2024091801001852,NABIL,93,25,10,553.90,"5,539.00"
611,2024091801001803,NABIL,45,57,12,550.00,"6,600.00"
612,2024091801002398,NABIL,48,4,500,555.00,"277,500.00"
613,2024091801002340,NABIL,93,4,10,555.00,"5,550.00"
614,2024091801002339,NABIL,93,41,20,554.00,"11,080.00"
615,2024091801002315,NABIL,35,41,20,552.10,"11,042.00"
616,2024091801002251,NABIL,33,41,10,554.00,"5,540.00"
617,2024091801002238,NABIL,25,41,500,552.00,"276,000.00"
618,2024091801002548,NABIL,35,35,10,555.00,"5,550.00"
619,2024091801002547,NABIL,35,54,235,555.00,"130,425.00"
